City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
638,South Venice,US,79.99,mist,27.0531,-82.4243,"Island Sun Inn & Suites - Venice, Florida Historic Downtown & Beach Getaway"
644,Marrakesh,MA,82.47,clear sky,31.6315,-8.0083,Novotel Marrakech Hivernage
646,Inirida,CO,74.12,broken clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
647,Kasongo,CD,88.83,light rain,-4.45,26.6667,Guest Hôtel
648,Tchollire,CM,84.22,overcast clouds,8.4022,14.1698,"Auberge ""l'amicale"""
650,Puerto Padre,CU,72.61,broken clouds,21.195,-76.6028,El Paseo
651,Kuybysheve,UA,74.08,scattered clouds,47.358,36.6491,Отель Колизей
653,Alwaye,IN,84.15,haze,10.1167,76.35,Hotel Airlink Castle
656,Freeport,US,71.26,overcast clouds,40.6576,-73.5832,The Freeport Inn and Marina
658,Progreso,MX,74.1,broken clouds,21.2833,-89.6667,Playa Linda Hotel
659,Izyaslav,UA,75.56,overcast clouds,50.1195,26.8213,Zaslav
660,Siverek,TR,83.01,clear sky,37.755,39.3167,Mercan Hotel
663,Oyama,JP,76.03,overcast clouds,36.3,139.8,Toyoko Inn Oyama-eki Higashi-guchi No.1
664,Mbandaka,CD,81.48,light rain,0.0487,18.2603,Guest House Epervier
665,Sorong,ID,79.14,heavy intensity rain,-0.8833,131.25,waigo splash hotel
667,Ciudad Guayana,VE,81.52,few clouds,8.3533,-62.6528,Hotel Las Americas
669,Mulatupo,PA,78.85,broken clouds,8.9492,-77.7652,Hostal Nuevo Sasardí
670,Luwuk,ID,77.32,light rain,-0.9516,122.7875,Hotel Santika Luwuk
671,Never,FR,74.64,scattered clouds,46.9896,3.159,Hôtel Kyriad Nevers Centre
678,Saint-Francois,FR,76.48,few clouds,46.4154,3.9054,Manoir Du Bonheur
680,Makakilo City,US,77.32,scattered clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
681,Buala,SB,80.11,light rain,-8.145,159.5921,Maringe Lagoon Lodge
683,Mlonggo,ID,85.89,overcast clouds,-6.5333,110.7,Asia Metal Art
687,Ocean City,US,74.21,overcast clouds,39.2776,-74.5746,Biscayne Suites
690,Umm Lajj,SA,85.82,scattered clouds,25.0213,37.2685,Moon light Furnished Units
691,Mundo Nuevo,MX,77.45,overcast clouds,18.7,-95.5,
692,Port Said,EG,78.82,clear sky,31.2565,32.2841,Aracan Hotel
694,Truth Or Consequences,US,71.83,clear sky,33.1284,-107.2528,Charles Motel
